f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,label
-0.233407,-0.69195104,-0.440862,0.5965766,0.23216018,-0.74081826,0.11907842,-0.40987688,0.4400883,0.87594384,-0.11936327,-0.39816365,0.4436846,0.7432447,0.12633282,0.5845907,2.017613,-0.5669844,-0.19843803,-0.44586653,-0.028030867,-0.8449808,-0.5341679,0.51060194,0.1863771,-0.11387611,0.123110324,0.48899016,-0.27769387,-0.2861719,2
0.7208487,-0.6206431,0.7054736,0.20179133,-0.7984504,-0.0995507,-0.827467,-0.118891075,-0.8164619,-1.745167,0.44380742,0.25757396,-0.03939141,0.5055267,-0.4140601,-0.11322659,-0.6420223,-0.2514415,0.23910066,-0.27060455,0.19007811,0.787654,1.268912,0.7557391,-0.6421623,-0.19267721,1.3130094,0.8337584,3.5342066,0.32013234,2
1.0193444,-0.6059371,0.9740283,0.264418,-1.276,-0.07490706,-0.31173325,0.4446349,1.4057008,0.018744128,1.5848013,0.1140856,-0.049062442,0.32283118,-0.76661974,-0.42386344,-0.42844483,0.20108753,-0.060044616,0.17035569,0.0077380114,0.61388767,1.599322,0.52252245,0.3591207,-0.38990527,-1.1381168,0.61937505,-0.04573872,-0.21771353,2
0.81773096,-0.60031855,0.7186451,0.24878444,-0.8166713,-0.1685584,-0.8387629,-0.04320646,-0.486211,-1.5814713,0.46986458,0.32333955,-0.17065373,0.28038266,-0.53961885,-0.036820985,-0.48983893,-0.025977952,0.06817419,-0.20707715,0.23683268,0.5140318,1.3243432,1.160256,-0.65156114,-0.21151951,1.1009097,0.7199215,3.3330457,0.1078259,2
0.0774079,-0.62785023,-0.23709625,0.30623648,1.7365646e-05,-1.2183529,-0.8460357,-1.1710321,-0.28335664,0.16076124,-0.645305,0.14820814,-0.24820337,-0.24047947,0.3239333,0.62688935,0.13047123,-0.028335534,0.32901397,-0.4520779,0.13688497,-0.26499823,0.29001856,0.7762602,-0.05737706,-0.04256269,-0.39054087,0.53881973,0.18000555,-0.8367276,2
-1.0169866,-0.743679,-1.3873782,0.7224948,0.58669645,0.16632992,1.6363252,0.95421344,-2.0506063,0.09385745,1.1851631,0.5617402,0.45485505,-0.34971544,-0.14646699,0.96382207,-1.5541483,0.73159945,-0.8977054,2.3573642,-0.79570526,-0.4112685,-0.22573853,-0.040767156,-0.51602596,0.11584962,-0.32995036,1.3230656,-0.061964378,-0.16961288,2
-1.597439,-0.82141566,-1.8927563,1.0163857,0.36225936,0.5539926,1.745267,0.63759744,-1.8703631,-0.23241468,0.8840022,1.9370915,0.0077138427,-3.2379496,-1.2601053,-2.3910844,1.7696599,0.6082969,-1.1168673,-4.306896,0.18983524,0.39864385,-0.49925292,0.41783994,-0.13252038,-1.143607,0.71439254,0.362123,-0.5210899,0.0011435668,2
-0.8710861,-0.8300554,-1.2271981,0.7633332,0.54391,0.10826447,1.6160759,0.99619645,-2.127731,-0.037554927,1.4794402,-0.5582943,-0.27266616,0.15163442,0.98042315,1.1535159,-1.6786739,0.48696396,-0.4764286,0.5101984,0.8933271,0.37021643,0.013928198,-0.271292,-0.2584523,0.11312913,0.24882624,0.59614146,0.24055015,-0.4978276,2
-0.16763787,-0.71040684,-0.49139047,0.31505197,0.3494564,-0.61576116,-0.24758853,-0.7439125,-0.84707344,0.22263345,-0.7326401,-0.45168707,0.37886515,0.99195063,0.14733203,0.55425024,1.8452462,-0.51180285,-0.12801868,-0.18328208,0.4847096,-0.45727354,-0.49809378,0.3922362,-0.19786783,0.0016193953,0.19073378,0.5264112,-0.096487686,-0.12920804,2
-0.32999724,-0.7260372,-0.763699,0.23191258,0.52527255,-0.6232632,0.27505502,-0.51867145,-0.5559302,0.5553306,-0.39600882,-0.5235217,0.59440136,1.2898666,0.02998996,1.1217655,0.9850992,-0.5354703,0.4464112,1.0899891,-1.0976933,-0.2861875,0.4175405,-2.7526171,0.2723185,-1.1305362,0.21341436,0.68309295,-0.34908676,0.12993535,2
-0.7798794,-0.788655,-1.3726859,0.8557778,0.43639332,-0.21916679,1.9999156,1.7881935,0.83957857,1.3919572,2.281568,-0.6654033,-0.54173094,-0.028508395,0.46859652,1.5233904,-1.5423083,0.32530475,-0.29699793,1.5162649,-0.48686105,-0.1903289,0.087304555,0.015279821,0.5490532,0.33843714,1.0252402,-0.43178868,-0.6095862,1.5760213,2
-0.9759279,-0.83931065,-1.3774017,0.60051113,0.5350373,0.11471801,1.749105,1.0666968,-1.7607307,0.11995268,1.6686817,-0.50655365,-0.5365168,-0.23269817,0.9487705,0.98752356,-1.5474107,0.5671562,-0.50877875,0.7212915,0.58482814,0.5155987,-0.5235977,-0.39777938,0.09195946,0.41098556,0.40144223,-0.6476467,-0.52175564,1.1671108,2
-1.4729341,-0.91293937,-1.7909219,1.0113008,0.29821688,0.48132616,1.6379426,0.8051395,-2.0543618,-0.12513293,0.8441681,2.0666997,0.2981704,-3.2128863,-1.3095431,-2.6241922,2.3126256,0.01955403,0.41058326,-3.84802,2.8354428,1.1395545,-0.16989578,-0.7850671,-1.5174721,-0.12558547,-0.9228537,1.105886,0.07539397,0.25881323,2
